Order ID,Date,Product ID,Category,Gender, Age,Item Purchased,Order Location,Sales Price,Quantity,Total Sales,Rating
189440,7/21/2024,BF1543,Garment,Male,30,Blouse,New Jersey,100,1,100,4
187385,7/20/2024,BF1543,Garment,Male,32,Sweater,Las Vegas,100,1,100,3
181844,7/21/2024,BF1544,Garment,Female,26,Jeans,Cardiff,9,1,49,2
197934,8/19/2024,BF1544,Footwear,Male,28,Sandals,Pittsburgh,9,2,18,3
122470,1/6/2024,BF1545,Garment,Female,19,Blouse,Miami,10,3,30,5
199680,6/1/2024,BF1546,Footwear,Male,29,Sneakers,Sydney,118,1,218,1
130929,3/6/2024,BF1547,Garment,Male,32,Shirt,Memphis,32,3,96,4
164427,4/16/2024,BF1547,Garment,Male,26,Shorts,Miami,32,2,64,3
149510,5/22/2024,BF1545,Outerwear,Female,26,Coat,New York,10,1,10,4
176280,2/27/2024,BF1548,Accessories,Male,20,Handbag,Sydney,65,1,165,4
196659,11/5/2023,BF1546,Footwear,Female,34,Shoes,Montreal,118,1,143,5
146245,9/24/2024,BF1548,Garment,Male,21,Shorts,Sacramento,65,1,65,1
150560,10/4/2024,BF1546,Outerwear,Male,29,Coat,Las Vegas,118,3,354,5
138348,1/26/2024,BF1549,Garment,Male,26,Dress,New Jersey,130,2,260,2
138790,5/13/2024,BF1547,Outerwear,Male,24,Coat,Montreal,32,2,114,3
170025,12/3/2023,BF1550,Garment,Male,34,Skirt,Paris,97,1,147,5
168520,9/23/2024,BF1551,Accessories,Female,31,Sunglasses,San Antonio,15,3,45,2
165261,12/13/2023,BF1548,Garment,Male,32,Dress,Las Vegas,65,1,65,5
182299,3/26/2024,BF1545,Garment,Female,25,Sweater,Cleveland,10,1,10,5
165196,8/31/2024,BF1548,Garment,Male,20,Pants,London,65,2,210,2
153554,9/1/2024,BF1550,Garment,Male,23,Pants,Cleveland,97,1,97,1
131552,11/30/2023,BF1548,Garment,Male,26,Pants,Portland,65,1,65,4
146178,6/4/2024,BF1545,Garment,Female,18,Pants,Detroit,10,2,20,3
138795,6/2/2024,BF1546,Garment,Female,19,Pants,New Jersey,118,3,354,1
142933,7/23/2024,BF1550,Outerwear,Male,19,Jacket,New Jersey,97,4,388,3
188192,10/31/2024,BF1545,Garment,Male,32,Hoodie,Cardiff,10,2,100,1
184678,6/8/2024,BF1551,Accessories,Male,28,Jewelry,Sacramento,15,1,15,5
128904,2/28/2024,BF1543,Garment,Male,22,Shorts,Sydney,100,3,600,5
191045,11/29/2023,BF1550,Accessories,Male,20,Handbag,Dublin,97,1,137,4
163054,1/16/2024,BF1548,Garment,Male,30,Dress,Glasgow,65,4,420,1
121078,12/13/2023,BF1545,Accessories,Female,22,Jewelry,Austin,10,4,40,5
180876,7/14/2024,BF1544,Garment,Male,31,Dress,Sacramento,9,1,9,4
155281,2/26/2024,BF1547,Outerwear,Male,22,Jacket,Cleveland,32,3,96,5
183087,2/16/2024,BF1548,Garment,Male,25,Pants,Austin,65,1,65,2
185910,7/9/2024,BF1548,Garment,Female,22,T-shirt,Glasgow,65,1,105,4
165100,10/12/2024,BF1545,Garment,Male,29,Blouse,Dublin,10,1,50,5
167831,3/9/2024,BF1547,Garment,Male,22,T-shirt,New Jersey,32,1,32,5
185069,1/12/2024,BF1544,Garment,Male,32,Jeans,Cleveland,9,1,9,4
153675,5/30/2024,BF1547,Garment,Male,31,Dress,Cardiff,32,5,360,5
169012,6/10/2024,BF1544,Garment,Female,21,Pants,New York,9,1,9,2
185868,1/14/2024,BF1545,Accessories,Female,18,Handbag,Pittsburgh,10,1,10,4
199507,5/10/2024,BF1545,Accessories,Male,22,Scarf,Cleveland,10,2,20,3
187807,4/21/2024,BF1548,Outerwear,Male,20,Coat,Pittsburgh,65,1,65,2
131889,4/17/2024,BF1548,Accessories,Female,19,Scarf,Montreal,65,1,90,4
191650,7/11/2024,BF1548,Accessories,Male,35,Hat,Las Vegas,65,5,325,1
120961,8/28/2024,BF1548,Garment,Female,23,Socks,Glasgow,65,1,105,3
123878,7/18/2024,BF1544,Garment,Male,19,Shirt,Toronto,9,1,34,4
142003,7/22/2024,BF1548,Accessories,Male,32,Jewelry,Cardiff,65,1,105,5
177177,5/12/2024,BF1549,Garment,Male,33,Shirt,Las Vegas,130,1,130,3
182615,2/18/2024,BF1550,Garment,Female,26,Hoodie,Sacramento,97,5,485,2
163266,6/23/2024,BF1551,Garment,Female,26,Blouse,Mumbai,15,1,85,5
159105,4/20/2024,BF1545,Garment,Male,21,Skirt,London,10,1,50,4
150308,6/9/2024,BF1548,Garment,Female,22,T-shirt,Glasgow,65,3,315,4
125917,5/29/2024,BF1552,Garment,Male,28,Skirt,London,45,1,85,5
199874,2/26/2024,BF1552,Outerwear,Male,26,Coat,New Jersey,45,2,90,4
175571,4/2/2024,BF1550,Outerwear,Female,21,Jacket,Memphis,97,1,97,4
184218,12/19/2023,BF1545,Accessories,Female,25,Backpack,San Antonio,10,2,20,3
192227,2/15/2024,BF1543,Outerwear,Male,33,Coat,San Francisco,100,3,300,1
139449,1/20/2024,BF1549,Garment,Female,25,Hoodie,Austin,130,1,130,2
168070,9/26/2024,BF1553,Accessories,Male,18,Belt,London,50,1,90,5
163107,8/25/2024,BF1548,Garment,Male,32,Sweater,Las Vegas,65,1,65,4
135780,10/20/2024,BF1548,Accessories,Female,27,Scarf,London,65,1,105,4
138768,3/6/2024,BF1548,Footwear,Male,28,Sneakers,Manchester,65,1,105,5
133935,4/16/2024,BF1544,Accessories,Male,24,Sunglasses,New York,9,2,18,5
193605,4/5/2024,BF1545,Footwear,Male,21,Boots,Liverpool,10,1,50,1
132689,4/21/2024,BF1554,Accessories,Male,29,Backpack,Miami,20,1,20,5
123840,9/20/2024,BF1551,Garment,Male,34,Blouse,Portland,15,4,60,1
180476,2/29/2024,BF1553,Outerwear,Female,24,Coat,Manchester,50,2,180,5
173951,2/5/2024,BF1551,Accessories,Male,33,Handbag,Sacramento,15,1,15,4
168749,3/2/2024,BF1548,Accessories,Male,20,Belt,Detroit,65,1,65,1
167082,10/3/2024,BF1543,Accessories,Female,20,Belt,Las Vegas,100,2,200,4
134606,4/8/2024,BF1543,Garment,Female,32,Dress,Liverpool,100,1,140,3
178674,4/22/2024,BF1551,Garment,Female,21,Dress,Toronto,15,3,120,4
155829,11/13/2023,BF1549,Garment,Male,26,Pants,New Jersey,130,2,260,1
169753,7/13/2024,BF1543,Accessories,Male,31,Gloves,New Jersey,100,5,500,5
167695,12/11/2023,BF1552,Accessories,Female,26,Scarf,Paris,45,2,190,1
158619,1/31/2024,BF1545,Accessories,Female,24,Hat,San Francisco,10,1,10,4
131132,2/3/2024,BF1544,Garment,Male,24,Dress,Cleveland,9,1,9,4
132399,1/26/2024,BF1548,Garment,Male,20,Skirt,San Francisco,65,2,130,4
198208,9/21/2024,BF1548,Outerwear,Male,25,Jacket,New York,65,2,130,5
194476,2/9/2024,BF1544,Footwear,Female,31,Sandals,Detroit,9,3,27,1
137794,1/20/2024,BF1550,Footwear,Male,23,Shoes,New Jersey,97,1,97,2
158342,3/30/2024,BF1550,Garment,Male,34,Pants,New Jersey,97,1,97,3
132788,11/3/2024,BF1546,Garment,Male,19,Dress,New Jersey,118,1,118,5
131843,9/24/2024,BF1549,Outerwear,Male,34,Coat,Detroit,130,3,390,4
169590,12/2/2023,BF1546,Accessories,Female,35,Sunglasses,Cleveland,118,4,472,4
172697,11/16/2023,BF1551,Garment,Male,34,Hoodie,Las Vegas,15,1,15,3
130779,8/3/2024,BF1548,Footwear,Female,18,Shoes,Cleveland,65,2,130,3
152864,11/12/2023,BF1551,Garment,Male,32,T-shirt,Portland,15,1,15,4
122419,4/10/2024,BF1551,Outerwear,Male,33,Jacket,Portland,15,1,15,4
155500,2/5/2024,BF1551,Accessories,Female,27,Hat,Paris,15,1,65,5
175860,7/24/2024,BF1551,Accessories,Female,21,Scarf,Miami,15,2,30,5
186716,12/11/2023,BF1551,Outerwear,Female,19,Jacket,New York,15,4,60,4
187116,2/26/2024,BF1546,Garment,Female,31,Sweater,Memphis,118,1,118,4
121074,5/13/2024,BF1550,Garment,Male,35,Skirt,Cleveland,97,1,97,1
173964,5/22/2024,BF1549,Footwear,Male,28,Sneakers,Detroit,130,2,260,1
